Name,Type,Description,Status,Ownership,Management,Coordination,Address,Acres,Location,County,GPS Coordinates,Plus Code,Trail Role,Parent Trail Name,Trail Segment Type,Trail Access Type,Trail Length (Miles),Features,Notes,URL,
Wenzler Park,Municipal Park,"Treehouse-themed playground, picnic areas, courts, walking paths, and shelter",Active,City of Kettering,City of Kettering,,"3535 Sharewood Ct., Kettering, OH 45429",4.6,Kettering,Montgomery,"39.6898,-84.1648",,None,,None,None,,,,https://www.playkettering.org/wenzler-park/,
Wesleyan MetroPark,Park District Park,Riverfront park with trails and access to Wolf Creek,Active,Five Rivers MetroParks,Five Rivers MetroParks,,,62,Dayton,Montgomery,,,Yes,,,,,,,,
West Carrollton Soccer Complex,Municipal Park,"Soccer fields with playground, restrooms, and shelter",Active,City of West Carrollton,City of West Carrollton,,4800 Hydraulic Rd.,,West Carrollton,Montgomery,,,None,,None,None,,,Primary soccer facility for the city.,,
Westbrook Park,Municipal Park,"Picnic tables, playground, and soccer fields",Active,City of Brookville,City of Brookville,,"Brookville‑Pyrmont Rd., Brookville, OH",,Brookville,Montgomery,,,None,,,,,,Community park with open play areas and soccer facilities,,
Westbrook Park,Municipal Park,Neighborhood park with playground and open space,Active,City of Clayton,City of Clayton,,"Westbrook Park, Jean Dr.",,Clayton,Montgomery,,,None,,None,None,,,Verified via Facility/Details/2.,http://clayton.oh.us/Facilities/Facility/Details/2,
Westbrook Road Bikeway Access Point,Trail Access Point,Access point to the regional bikeway system,Active,Montgomery County,Montgomery County,,"Westbrook Rd. near Union Blvd., Clayton, OH 45315",,Clayton,Montgomery,"39.8680,-84.3230","86MQ+3W Clayton, Ohio",Bikeway Access Point,Great Miami River Trail,None,Access Point,,,Part of the regional bikeway network.,,
Westbrooke Park,Municipal Park,"Picnic shelter, soccer field, ballfields, and courts",Active,City of Trotwood,City of Trotwood,,"5410 Northford Rd, Trotwood, OH 45426",,Trotwood,Montgomery,"39.7905,-84.2875",,None,,None,None,,,Verified municipal park behind Westbrooke Elementary,https://www.trotwoodchamber.org/recreation.php,
Western Hills Park,Municipal Park,"Playground, courts, picnic areas, and restrooms",Active,City of Dayton,City of Dayton,,"600 N. Westwood Ave., Dayton, OH 45402",,Dayton,Montgomery,"39.7650,-84.2380",,None,,None,None,,,,https://www.daytonohio.gov/Facilities/Facility/Details/Western-Hills-Park-Shelter-34,
Westover Park,Municipal Park,Neighborhood park with open green space,Active,City of Miamisburg,City of Miamisburg,,400 Schroeder St.,,Miamisburg,Montgomery,,,None,,None,None,,,,https://storage.googleapis.com/proudcity/playmiamisburgoh/uploads/2022/05/Parks-Map-2022.pdf,
Willowbrook Park,Park District Park,"Neighborhood park with creek, trails, woods, open areas, courts, and shelter",Active,Centerville–Washington Park District,Centerville–Washington Park District,,10225 Park Edge Drive; 570 Nutt Road; 10140 Atchison Road,17.89,Centerville,Montgomery,,,,,,,,Hiking trails,Stream; picnic tables; multiple access points; acquired 1988–1989,https://cwpd.org/parks/willowbrook/,
Wilson Park & Pool,Municipal Park,"Community park with shelters, courts, pool, disc golf, and walking trails",Active,City of West Carrollton,City of West Carrollton,,350 Wilson Park Dr.; 1226 S. Elm St.,,West Carrollton,Montgomery,,,None,,None,None,,,Primary community park with extensive recreation facilities.,,
Wolcott Park,Municipal Park,"Playground, basketball court, picnic tables, and open green space",Active,City of Dayton,City of Dayton,,"620 E. Helena St., Dayton, OH 45404",,Dayton,Montgomery,"39.7810,-84.1780",,None,,None,None,,,,https://www.mypacer.com/parks/165644/wolcott-park-dayton,
Wolf Creek Access (MetroParks),Fishing Access,River access point managed by MetroParks,Active,Five Rivers MetroParks,Five Rivers MetroParks,,"Near Broadway St., Dayton, OH",,,Montgomery,,,Yes,,,,,,River access,,
Wolf Creek Corridor,Municipal Park,Trail access and river corridor greenspace,Active,City of Dayton,City of Dayton,,"Wolf Creek, Dayton, OH",,Dayton,Montgomery,"39.0,-84.0",,None,,None,None,,,,https://www.miamivalleytrails.org/trails/wolf-creek-trail,
Wolf Creek East Buffer Zone,Park District Conservation Area,Natural area buffering Wolf Creek Trail corridor,Active,Five Rivers MetroParks,Five Rivers MetroParks,,"Near Broadway St., Dayton, OH",,,Montgomery,,,None,,None,None,,,Buffer zone,,
Wolf Creek Floodplain Natural Area,Controversial,Riparian floodplain habitat with wildlife and public access at road crossings,Active,Miami Conservancy District,Miami Conservancy District,,"Near Wolf Creek Pike & Union Rd, Jefferson Township, OH",,Jefferson Township,Montgomery,"39.7602,-84.3168",,None,,None,None,,,Recognized riparian natural area within township footprint,,
Wolf Creek Greenway (Jefferson Segment),Controversial,Regional trail corridor with public access at crossings,Active,Montgomery County,Montgomery County,,"Along Wolf Creek, Jefferson Township, OH",,Jefferson Township,Montgomery,"39.7570,-84.3140",,None,,None,None,,,Official regional greenway; only Jefferson Township segments included,,
Wolf Creek Trail Corridor (MetroParks),Controversial,Bikeway corridor along Wolf Creek,Active,Five Rivers MetroParks,Five Rivers MetroParks,,"Along Wolf Creek, Montgomery County",,,Montgomery,,,None,,None,None,,,Part of regional bikeway network,,
Woodbourne Green Park,Park District Park,Triangular historic green with stone marker commemorating 1797 Village of Woodbourne,Active,Centerville–Washington Park District,Centerville–Washington Park District,,W. Whipp Road at Paddington Road,0.113,Centerville,Montgomery,,,None,,,,,,Historical marker placed 1971; transferred 1989,https://cwpd.org/parks/woodbourne-green/,
Woodbourne Springs Park,Park District Park,"Nature park with hiking trails, stream, and picnic table",Active,Centerville–Washington Park District,Centerville–Washington Park District,,220 W. Whipp Road,7.081,Centerville,Montgomery,,,None,,None,None,,,Stream; historic Hole family property; jointly purchased with county and federal funding,https://cwpd.org/parks/woodbourne-springs/,
Woodland Cemetery & Arboretum,Cemetery; Arboretum,Historic cemetery and Level II arboretum with extensive tree collections,Active,Woodland Cemetery Association,Woodland Cemetery Association,,"118 Woodland Ave., Dayton, OH 45409",200,Dayton,Montgomery,"39.7410,-84.1780","85CW+QW Dayton, Ohio",None,,None,None,,,One of the oldest rural cemeteries in the U.S.,https://woodlandcemetery.org,
Woodman Fen Conservation Area,Park District Conservation Area,Protected fen ecosystem with boardwalk,Active,,Five Rivers MetroParks,,,33,Kettering,Montgomery,,,None,,None,None,,,Fen ecosystem,,
Wright “B” Flyer Hangar and Museum,Museum,Aviation museum and hangar featuring the Wright “B” Flyer replica,Active,Wright “B” Flyer Inc.,Wright “B” Flyer Inc.,,"10550 Springboro Pike, Miamisburg, OH 45342",,Miamisburg,Montgomery,"39.6160,-84.2290","77XW+JH Miamisburg, Ohio",None,,None,None,,,Located at Dayton–Wright Brothers Airport,https://www.wright-b-flyer.org,
Wright Brothers Hill,Federal Memorial Green,Memorial hilltop with Olmsted‑designed landscape and aviation monuments,Active,National Park Service,National Park Service,,"2380 Memorial Road, Dayton, OH 45433",27,Dayton,Montgomery,"39.8140,-84.0710","86QV+XW Dayton, Ohio",None,,None,None,,,Overlooks Huffman Prairie Flying Field; part of Dayton Aviation Heritage NHP.,https://www.nps.gov/places/wright-brothers-memorial.htm,
Wright Brothers Pinnacles Trail,Municipal Park,Natural surface trail with scenic overlooks and historic interpretive points,Active,City of Moraine,City of Moraine,,Pinnacles area off Pinnacle Road,,Moraine,Montgomery,,,None,,None,None,,,Historic and scenic trail.,https://moraineoh.myrec.com/info/dept/details.aspx?DeptInfoID=1052,
Xenia Avenue Stormwater Green,Controversial,Stormwater green infrastructure; drainage features; vegetation,Active,City of Dayton,,,"Xenia Ave., Dayton, OH",,Dayton,Montgomery,"39.0,-84.0",,,,,,,,,https://www.daytonohio.gov/409/Storm-Water-Management-Program,
Yankee Park,Park District Park,"Large community park with tennis courts, pickleball, baseball diamonds, soccer fields, football practice areas, playground, paved trails, and picnic shelter",Active,Centerville–Washington Park District,Centerville–Washington Park District,,7500 Yankee Street,36.679,Centerville,Montgomery,,,,,,,,AED; Little Free Library; drinking fountain; restrooms; grill; historic multi-parcel acquisition,Paved multi-use trails (0.82-mile perimeter; 0.19-mile center path),https://cwpd.org/parks/yankee/,
YMCA Bikeway,Land Trail,Paved bikeway segment connecting park and YMCA areas,Active,City of Englewood,City of Englewood,,"Englewood, Ohio 45322",,Englewood,Montgomery,,,Trail System,,Linear,None,,Multi-Use Trail,Route and function derived from city bikeways brochure,https://www.englewood.oh.us/189/Parks-Playgrounds,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Black Oak East Park,Park District Park,"Natural area with forest, stream corridor, and informal trails",Active,Centerville–Washington Park District,Centerville–Washington Park District,,7835 John Elwood Drive,25.394,Centerville,Montgomery,"39.627540,-84.143210","9GPF+M2 Centerville, Ohio",None,,None,None,,Nature Trail,Acquired via open space transfer (1971–1992),https://cwpd.org/parks/black-oak-east/,
Black Oak Park,Park District Park,"Nature park with hiking trails, paved path, wetland overlook, and play equipment",Active,Centerville–Washington Park District,Centerville–Washington Park District,,1552 Ambridge Road; 7766 Bigger Road,17.855,Centerville,Montgomery,"39.627980,-84.146210","9GPF+Q3 Centerville, Ohio",None,,None,None,,Playground;Loop Trail,Stream corridor; sled hills; drinking fountain (seasonal),https://cwpd.org/parks/black-oak/,
Blackhawk Park,Municipal Park,"Neighborhood park with ball fields, courts, playground, and picnic shelter",Active,City of Kettering,City of Kettering,,"3005 Blackhawk Dr., Kettering, OH 45420",7.3,Kettering,Montgomery,"39.684700,-84.129800","9GJH+QG Kettering, Ohio",None,,None,None,,Baseball Diamond;Basketball Court;Playground;Picnic Shelter,,https://www.playkettering.org/blackhawk-park/,
BMX Bike Trail,Internal Feature,Named BMX trail within Miamisburg Community Park,Active,City of Miamisburg,City of Miamisburg,,1681 Maue Road (Sycamore Trails Park),,Miamisburg,Montgomery,"39.630210,-84.279540","J9Q3+3C Miamisburg, Ohio",None,,None,None,,,Contained within Miamisburg Community Park,https://www.playmiamisburg.com/parks_facilities/,
Bomberger Park,Municipal Park,"Neighborhood park with playground, open green space, and walking paths",Active,City of Dayton,City of Dayton,,"E. Fifth St. & Keowee St., Dayton, OH 45403",5.5,Dayton,Montgomery,"39.757000,-84.169000","9JXH+QG Dayton, Ohio",None,,None,None,,Playground;Multi-Use Trail,,https://parkmagnet.com/united-states/ohio/dayton/bomberger-park,
Brittany Hills Park,Park District Park,Neighborhood park with wooded area and play equipment,Active,Centerville–Washington Park District,Centerville–Washington Park District,,5825 Batsford Drive,4.184,Centerville,Montgomery,"39.628410,-84.149870","9GPF+V9 Centerville, Ohio",None,,None,None,,Playground;Nature Trail,Purchased in 1977 with U.S. Department of the Interior funding,https://cwpd.org/parks/brittany-hills/,
Brown School Road Park,Municipal Park,"Neighborhood greenspace with benches, open play area, and nature observation",Active,City of Vandalia,City of Vandalia,,"792 Hunter’s Chase, Vandalia, OH 45377",,Vandalia,Montgomery,"39.879000,-84.205800","2FJ9+H2 Vandalia, Ohio",None,,None,None,,None,,https://vandaliaohio.org/Facilities/Facility/Details/Brown-School-Road-Park-3,
Bruin Park,Municipal Park,Neighborhood park with playground and picnic shelter,Active,City of Englewood,City of Englewood,,"201 N Main Street, Englewood, Ohio 45322",,Englewood,Montgomery,"39.877210,-84.302540","2FJ3+F4 Englewood, Ohio",None,,None,None,,Playground;Picnic Shelter,Features from City of Englewood facility page,https://www.englewood.oh.us/Facilities/Facility/Details/Bruin-Park-1,
Buckeye Pheasant Hunting Preserve,Private Hunting Reserve,Privately operated upland game preserve offering guided and unguided pheasant hunts,Active,Private,Private,,"1601 Diamond Mill Rd, New Lebanon, OH 45345",,New Lebanon,Montgomery,"39.741900,-84.330800","J9X3+4P New Lebanon, Ohio",None,,None,None,,,Hunting preserve; upland game habitat,https://www.buckeyepheasanthunting.com,
Burkham Park,Municipal Park,"Neighborhood park with playground, courts, picnic shelter, and water access",Active,City of Dayton,City of Dayton,,"679 S. Broadway St., Dayton, OH 45417",,Dayton,Montgomery,"39.744500,-84.216000","9JX4+QG Dayton, Ohio",None,,None,None,,Playground;Basketball Court;Picnic Shelter;Restroom;Soccer Pitch;Tennis Court,,https://www.daytonohio.gov/Facilities/Facility/Details/Burkham-Park-Shelter-North-13,
Burkhardt Road Stormwater Green,Flood Control Area,Stormwater green infrastructure site with engineered drainage features and vegetation,Active,City of Dayton,City of Dayton,,"Burkhardt Rd., Dayton, OH",,Dayton,Montgomery,"39.760210,-84.137540","9JXG+W4 Dayton, Ohio",None,,None,None,,,Stormwater green infrastructure site,,
Burns Jackson Park,Municipal Park,"Neighborhood park with playground, courts, and sports fields",Active,City of Dayton,City of Dayton,,"552 Buckeye St., Dayton, OH 45410",8,Dayton,Montgomery,"39.754000,-84.169500","9JXH+JH Dayton, Ohio",None,,None,None,,Playground;Basketball Court;Baseball Diamond;Soccer Pitch;Tennis Court,,https://www.daytonohio.gov/Facilities/Facility/Details/Burns-Jackson-Park-Shelter-16,
Burton Street Green,Municipal Park,Small civic green with no listed amenities,Active,City of Dayton,City of Dayton,,"Burton St., Dayton, OH",,Dayton,Montgomery,"39.757540,-84.173210","9JXH+Q2 Dayton, Ohio",None,,None,None,,,Small civic green,,
Camp Charles R. Hook,BSA Camp,Historic BSA camp (closed 1991); now contained within Twin Creek MetroPark,Closed,Boy Scouts of America (historic),,,"8502 Chamberlain Rd., Germantown, OH 45327",,Germantown,Montgomery,"39.643000,-84.369000","J9Q2+QH Germantown, Ohio",None,,None,None,,,Contained within Twin Creek MetroPark,,
Canal Lock Park,Municipal Park,Historic canal lock site and mini-park,Active,City of Huber Heights,City of Huber Heights,,"5999 Endicott Rd, Huber Heights, OH",,Huber Heights,Montgomery,"39.868540,-84.113210","3G9W+Q3 Huber Heights, Ohio",None,,None,None,,Historic Marker;Canal Site,,https://www.huberheightsoh.gov,
Canal Run Dog Park,Internal Feature,Off-leash dog park within Miamisburg Community Park,Active,City of Miamisburg,City of Miamisburg,,550 South First Street (inside Community Park),,Miamisburg,Montgomery,"39.630540,-84.279870","J9Q3+4C Miamisburg, Ohio",None,,None,None,,Dog Park,Contained within Miamisburg Community Park,https://www.playmiamisburg.com/parks_facilities/,
Carillon Historical Park,Historical Park,Open-air museum campus with historic buildings and exhibits,Active,Dayton History,Dayton History,,"1000 Carillon Blvd., Dayton, OH 45409",65,Dayton,Montgomery,"39.731000,-84.191000","85C2+6R Dayton, Ohio",None,,None,None,,Museum;Historic Cabin;Historic Marker;Visitor Center,Part of Dayton History campus,https://www.daytonhistory.org,
Carillon Park Connector Corridor,Greenway,Greenway and trail corridor linking RiverScape and Carillon along the Great Miami River,Active,Five Rivers MetroParks,Five Rivers MetroParks,,"Along Great Miami River near Carillon Blvd., Dayton, OH",,Dayton,Montgomery,"39.732540,-84.188210","85C3+5Q Dayton, Ohio",None,,None,None,,,Connector corridor,,
Carnegie Center,Recreation Facility,Community recreation and cultural facility,Active,City of Miamisburg,City of Miamisburg,,426 E. Central Ave.,,Miamisburg,Montgomery,"39.648540,-84.285870","J9Q4+Q3 Miamisburg, Ohio",None,,None,None,,,Community recreation facility,https://storage.googleapis.com/proudcity/playmiamisburgoh/uploads/2022/05/Parks-Map-2022.pdf,
Carriage Hill MetroPark,Park District Park,"Large regional MetroPark with trails, historic farm, visitor center, prairie, and equestrian facilities",Active,Five Rivers MetroParks,Five Rivers MetroParks,,"7800 E Shull Rd, Huber Heights, OH",900,Huber Heights,Montgomery,"39.868870,-84.062540","86M9+Q4 Huber Heights, Ohio",None,,None,None,,Visitor Center;Nature Center;Equestrian Area;Prairie Restoration Area,,https://www.metroparks.org/,
Case Landing,Municipal Park,River access site on the Great Miami River for non-motorized watercraft,Active,City of Miamisburg,City of Miamisburg,,Linden & Riverview Ave.,,Miamisburg,Montgomery,"39.643540,-84.287540","J9Q2+R3 Miamisburg, Ohio",None,,None,None,,River Access;Boat Ramp,Great Miami River access,https://storage.googleapis.com/proudcity/playmiamisburgoh/uploads/2022/05/Parks-Map-2022.pdf; https://www.playmiamisburg.com/parks_facilities/parks/,
